ID,UF,Regiao,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014
14,RORAIMA,NORTE,127,144,148,146,153,161,169,170,186
16,AMAPÁ,NORTE,148,158,150,149,163,183,187,199,198
12,ACRE,NORTE,135,144,142,144,150,172,177,186,205
17,TOCANTINS,NORTE,303,320,352,358,379,400,390,402,396
28,SERGIPE,NORDESTE,543,574,563,558,603,643,648,687,672
22,PIAUÍ,NORDESTE,470,510,519,533,576,606,630,672,684
13,AMAZONAS,NORTE,532,537,550,595,642,667,701,713,697
27,ALAGOAS,NORDESTE,560,541,536,557,549,576,626,645,697
11,RONDÔNIA,NORTE,607,606,600,656,665,709,744,747,765
25,PARAÍBA,NORDESTE,637,649,661,690,712,781,782,814,859
24,RIO GRANDE DO NORTE,NORDESTE,861,863,822,817,882,909,967,1000,976
21,MARANHÃO,NORDESTE,782,831,805,798,888,956,1004,1045,1044
50,MATO GROSSO DO SUL,CENTRO-OESTE,936,956,935,989,1037,1080,1114,1153,1194
15,PARÁ,NORTE,981,1016,1064,1033,1078,1140,1201,1217,1319
51,MATO GROSSO,CENTRO-OESTE,1110,1156,1219,1265,1305,1392,1377,1407,1446
32,ESPÍRITO SANTO,SUDESTE,1652,1742,1816,1808,1828,1900,1956,2025,2030
53,DISTRITO FEDERAL,CENTRO-OESTE,1802,1868,1998,2040,2110,2137,2156,2200,2161
23,CEARÁ,NORDESTE,1692,1738,1805,1832,1993,2140,2210,2275,2325
26,PERNAMBUCO,NORDESTE,1920,1924,1928,2002,2091,2163,2346,2398,2425
52,GOIÁS,CENTRO-OESTE,2225,2293,2318,2406,2566,2676,2759,2882,2933
29,BAHIA,NORDESTE,3148,3172,3136,3210,3320,3470,3487,3530,3627
42,SANTA CATARINA,SUL,4610,4747,4860,5031,5089,5222,5217,5276,5249
41,PARANÁ,SUL,6063,6088,6235,6467,6777,6917,6990,7090,7097
43,RIO GRANDE DO SUL,SUL,6966,7188,7287,7435,7623,7772,7877,7973,7949
33,RIO DE JANEIRO,SUDESTE,8071,8115,8120,8332,8532,8833,9027,9239,9239
31,MINAS GERAIS,SUDESTE,9316,9638,9781,9819,10012,10358,10421,10464,10524
35,SÃO PAULO,SUDESTE,23906,24460,25095,25476,26214,27000,27374,27806,27785
0,BRASIL,Total,80103,81978,83445,85146,87937,90963,92537,94215,94682
