TOTAL DE EMPRESAS,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014
11 - Rondônia," 0,0286 "," 0,0263 "," 0,0266 "," 0,0251 "," 0,0246 "," 0,0248 "," 0,0235 "," 0,0233 "
12 - Acre," 0,0270 "," 0,0245 "," 0,0234 "," 0,0231 "," 0,0236 "," 0,0231 "," 0,0230 "," 0,0242 "
13 - Amazonas," 0,0350 "," 0,0331 "," 0,0335 "," 0,0339 "," 0,0329 "," 0,0325 "," 0,0313 "," 0,0294 "
14 - Roraima," 0,0456 "," 0,0421 "," 0,0391 "," 0,0381 "," 0,0364 "," 0,0363 "," 0,0347 "," 0,0356 "
15 - Pará," 0,0249 "," 0,0242 "," 0,0224 "," 0,0218 "," 0,0213 "," 0,0212 "," 0,0202 "," 0,0207 "
16 - Amapá," 0,0370 "," 0,0320 "," 0,0298 "," 0,0302 "," 0,0303 "," 0,0301 "," 0,0301 "," 0,0284 "
17 - Tocantins," 0,0190 "," 0,0191 "," 0,0182 "," 0,0180 "," 0,0176 "," 0,0166 "," 0,0162 "," 0,0152 "
21 - Maranhão," 0,0304 "," 0,0275 "," 0,0255 "," 0,0257 "," 0,0255 "," 0,0254 "," 0,0250 "," 0,0236 "
22 - Piauí," 0,0273 "," 0,0257 "," 0,0244 "," 0,0240 "," 0,0230 "," 0,0226 "," 0,0225 "," 0,0215 "
23 - Ceará," 0,0276 "," 0,0268 "," 0,0256 "," 0,0257 "," 0,0255 "," 0,0249 "," 0,0244 "," 0,0236 "
24 - Rio Grande do Norte," 0,0279 "," 0,0249 "," 0,0233 "," 0,0233 "," 0,0223 "," 0,0226 "," 0,0221 "," 0,0207 "
25 - Paraíba," 0,0231 "," 0,0221 "," 0,0217 "," 0,0207 "," 0,0211 "," 0,0198 "," 0,0195 "," 0,0194 "
26 - Pernambuco," 0,0259 "," 0,0247 "," 0,0242 "," 0,0234 "," 0,0225 "," 0,0229 "," 0,0224 "," 0,0215 "
27 - Alagoas," 0,0260 "," 0,0243 "," 0,0235 "," 0,0213 "," 0,0209 "," 0,0213 "," 0,0208 "," 0,0214 "
28 - Sergipe," 0,0296 "," 0,0279 "," 0,0265 "," 0,0267 "," 0,0266 "," 0,0253 "," 0,0258 "," 0,0241 "
29 - Bahia," 0,0238 "," 0,0224 "," 0,0217 "," 0,0211 "," 0,0206 "," 0,0200 "," 0,0195 "," 0,0193 "
31 - Minas Gerais," 0,0241 "," 0,0234 "," 0,0228 "," 0,0220 "," 0,0217 "," 0,0215 "," 0,0209 "," 0,0205 "
32 - Espírito Santo," 0,0260 "," 0,0258 "," 0,0248 "," 0,0240 "," 0,0237 "," 0,0237 "," 0,0239 "," 0,0233 "
33 - Rio de Janeiro," 0,0350 "," 0,0341 "," 0,0339 "," 0,0334 "," 0,0330 "," 0,0329 "," 0,0327 "," 0,0321 "
35 - São Paulo," 0,0304 "," 0,0298 "," 0,0292 "," 0,0287 "," 0,0282 "," 0,0279 "," 0,0275 "," 0,0268 "
41 - Paraná," 0,0258 "," 0,0252 "," 0,0248 "," 0,0247 "," 0,0240 "," 0,0237 "," 0,0231 "," 0,0226 "
42 - Santa Catarina," 0,0285 "," 0,0276 "," 0,0273 "," 0,0264 "," 0,0257 "," 0,0250 "," 0,0244 "," 0,0235 "
43 - Rio Grande do Sul," 0,0292 "," 0,0283 "," 0,0278 "," 0,0271 "," 0,0266 "," 0,0264 "," 0,0260 "," 0,0255 "
50 - Mato Grosso do Sul," 0,0187 "," 0,0175 "," 0,0177 "," 0,0176 "," 0,0174 "," 0,0174 "," 0,0171 "," 0,0170 "
51 - Mato Grosso," 0,0206 "," 0,0198 "," 0,0191 "," 0,0184 "," 0,0184 "," 0,0175 "," 0,0169 "," 0,0167 "
52 - Goiás," 0,0214 "," 0,0203 "," 0,0198 "," 0,0197 "," 0,0193 "," 0,0193 "," 0,0191 "," 0,0186 "
53 - Distrito Federal," 0,0392 "," 0,0386 "," 0,0370 "," 0,0358 "," 0,0340 "," 0,0331 "," 0,0326 "," 0,0319 "
Total," 0,0279 "," 0,0270 "," 0,0264 "," 0,0258 "," 0,0253 "," 0,0250 "," 0,0246 "," 0,0240 "
